"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"080530","99999","PONFERRADA","SP",NA,NA,42.567,-6.6,550,1973-01-02,2021-01-21,"080530-99999",-0.115191730631626,0.742934302696426,83.0163877655847,"es1161a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-01-21,"080150-99999",-0.102398467214507,0.756600230739542,86.0291633946206,"es1161a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-01-21,"082840-99999",-0.00841248699461267,0.689213068320041,3.11084056853165,"es1181a"
"082850","99999","VALENCIA VIVEROS","SP",NA,NA,39.483,-0.383,11,1973-01-01,2021-01-20,"082850-99999",-0.00668461103513828,0.689108348564921,5.51573659843163,"es1181a"
"080143","99999","VALENCIA","SP",NA,"LEBT",39.583,-0.45,50,2004-05-10,2021-01-21,"080143-99999",-0.00785398163397448,0.690853677816915,11.3320319522434,"es1181a"
"081710","99999","LERIDA","SP",NA,NA,41.633,0.6,199,1973-01-01,2021-01-21,"081710-99999",0.010471975511966,0.726632927482799,2.3170334026479,"es1225a"
"084515","99999","LLEIDA-ALGUAIRE AIRPORT","SP",NA,"LEDA",41.728,0.536,350,2010-01-14,2021-01-21,"084515-99999",0.00935496479068961,0.728290990272194,14.1250284294602,"es1225a"
"081120","99999","TALAR","SP",NA,NA,42.2,0.867,800,1984-05-03,2021-01-20,"081120-99999",0.0151320046147908,0.736528944341607,68.207436674616,"es1225a"
"082850","99999","VALENCIA VIVEROS","SP",NA,NA,39.483,-0.383,11,1973-01-01,2021-01-20,"082850-99999",-0.00668461103513828,0.689108348564921,3.05253841878696,"es1239a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-01-21,"082840-99999",-0.00841248699461267,0.689213068320041,9.8192087100704,"es1239a"
"080143","99999","VALENCIA","SP",NA,"LEBT",39.583,-0.45,50,2004-05-10,2021-01-21,"080143-99999",-0.00785398163397448,0.690853677816915,15.4773119098607,"es1239a"
"080250","99999","BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,1973-01-01,2021-01-21,"080250-99999",-0.0508065345255549,0.755745019406065,4.20869015996503,"es1244a"
"080800","99999","VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,1973-01-01,2021-01-21,"080800-99999",-0.0475427688243255,0.748449543132728,46.0674485005176,"es1244a"
"080270","99999","SAN SEBASTIAN/IGUELDO","SP",NA,NA,43.3,-2.033,259,1973-01-01,2021-01-21,"080270-99999",-0.0354825436930447,0.755727566113545,73.1187208272004,"es1244a"
"081763","99999","SABADELL","SP",NA,"LELL",41.517,2.1,250,2000-08-30,2021-01-21,"081763-99999",0.0366519142918809,0.724608345550486,4.91347186553811,"es1262a"
"081860","99999","SAN LORENZO","SP",NA,NA,41.633,2.017,1092,1973-11-08,2021-01-20,"081860-99999",0.0352032910127256,0.726632927482799,10.6323548649785,"es1262a"
"081800","99999","BARCELONA CITY","SP",NA,NA,41.417,2.133,176,1973-01-01,2021-01-20,"081800-99999",0.037227872945039,0.722863016298491,16.2461383505128,"es1262a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-01-21,"080150-99999",-0.102398467214507,0.756600230739542,0.924191976622005,"es1268a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-01-21,"080110-99999",-0.105330620357858,0.76033523533881,26.6145243388797,"es1268a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-01-21,"080140-99999",-0.0994837673636768,0.76038759521637,26.812206078278,"es1268a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-01-21,"080150-99999",-0.102398467214507,0.756600230739542,3.30485802174711,"es1269a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-01-21,"080140-99999",-0.0994837673636768,0.76038759521637,24.7437693684874,"es1269a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-01-21,"080110-99999",-0.105330620357858,0.76033523533881,27.3504784741642,"es1269a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-01-21,"080140-99999",-0.0994837673636768,0.76038759521637,4.87820055208496,"es1270a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-01-21,"080150-99999",-0.102398467214507,0.756600230739542,26.6079344280865,"es1270a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-01-21,"080110-99999",-0.105330620357858,0.76033523533881,30.5272874243526,"es1270a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-01-21,"080140-99999",-0.0994837673636768,0.76038759521637,3.13694968970094,"es1271a"
